absorb;впитывать, поглощать
hand down;передать (по наследству)
patron;покровитель
ban;запрещать
turnover;оборот (экон.)
glasses;очки
catch on;становиться популярным
loathe;ненавидеть, питать отвращение
mingle;смешиваться
undermine;подрывать
villain;негодяй
purse;кошелек, сумочка
sour;кислый
cellar;подвал
rainbow;радуга
singular;единственный, особый
partition;раздел
human;человек, человеческий
rich;богатый
reinforce;усилить, укрепить
grow (grew, grown);расти или выращивать
relish;наслаждаться
tissue;бумажная салфетка
billboard;рекламный щит
neglect;пренебрегать, не следить
update;обновлять, обновление
upper;верхний
quantity;количество
generous;великодушный, щедрый
sequence;последовательность
snake;змея
hilarious;веселый, забавный, смешной
confirm;подтвердить
lure;приманка, манить
ostensibly;по видимости, якобы
venture;авантюра, предприятие, решиться
pending;в ожидании, на рассмотрении
flicker;мерцать
toss;бросать
fancy;необычный, причудливый, модный
come out;выступить, заявить
asset;актив, имущество
tin;олово или жесть
drive (drove, driven);водить машину
bandage;повязка
majesty;величие, величество
slate;шифер или сланец
sneer;усмешка, насмехаться
buckle up;пристегнуться
thorn;шип, колючка
get ahead of;обогнать
decide;решить
plant;растение, сажать
differ;отличаться
combine;соединять(ся)
sparkle;сверкать, блистать, искриться
jump at;ухватиться (за возможность)
part;роль
sheer;явный, полный, чистый
mimic;передразнивать, копировать
marvel;диво, удивляться
whiz;просвистеть, пронестись
bustle;суета, суматоха
aircraft;самолёт, авиация
rail;рельс, перила
stand for;обозначать (в сокращении)
chin;подбородок
reject;отвергать
reception;прием, приёмная
truck;грузовик
captive;пленник
beauty;красота или красавица
feasible;выполнимый, осуществимый
rust;ржавчина
admire;восхищаться
crane;подъёмный кран
bald;лысый, плешивый
ripple;рябь или пульсация
addition;добавление, сложение
pull back;отступить, отвести войска
buddy;дружище, парень
offend;обидеть, оскорбить
stout;толстый, плотный, крепкий
beam;балка, перекладина
crook;сгибать, искривлять
yearn;тосковать, жаждать
suburb;пригород
natural;естественный
diffuse;рассеивать, распылять
deliver;доставлять
mole;крот
deer (pl:deer);олень
berry;ягода
might;мощь
frequent;частый
laden;груженный
jab;ударять, пихать
whirl;вихрь, кружиться
raise;растить (детей)
flick;короткое резкое движение
opt for;выбирать из вариантов
neither...nor;ни
brazen;наглый
in advance;заранее
mint;мята
vital;жизненный, жизненно важный
spell;произносить (писать) по буквам
pole;шест, столб
indulge;баловать, потворствовать
tribute;дань
guise;облик, личина
stack;стопка, куча, складывать
pure;чистый, незагрязнённый
snug;уютный, тесный
chip;щепка, стружка
brawl;шумная драка, скандал
bush;куст
gloss;глянец, лоск
grade;класс, уровень
mount;монтировать, устанавливать
velvet;бархат
kernel;ядро
warfare;военные действия
runaway;беглый, беглец
lock up;посадить в тюрьму или дурку
alter;изменять
community;община, сообщество
sip;глоток
splendid;великолепный, блестящий
bag;сумка, мешок
swell (swelled, swollen);раздуваться, распухать
come with;прилагаться
west;запад
dry;сухой, сушить, засуха
sole;подошва
predator;хищник
depart;отправляться, отходить
miserable;несчастный, жалкий
divide;делить
lousy;паршивый
frontier;граница
come along;идти вместе
free;свободный или бесплатный
beside;рядом
faint;слабый, неуловимый
suit;подходить, соответствовать
adventure;приключение
deprive;лишать
chimney;дымовая труба
flop;провал, неудача
filth;грязь, гадость
bury;хоронить
commitment;приверженность
hood;капюшон
due to;из-за, в связи
adjust;настраивать, поправлять и т.д.
execute;исполнить
fear;страх, бояться
outlaw;преступник (особ. на свободе)
send out;рассылать
at once;сразу
behave;вести себя
tenant;арендатор
census;перепись
wave;волна
domestic;домашний
screech;визг, скрип, хрип и т. д.
raw;сырой, необработанный
raisin;изюм
apart from;помимо
digest;переваривать
wind (wound, wound);наматывать, виться, петлять
level;уровень
call off;отменить
ransom;выкуп
controversy;спор, разногласие, дискуссия
prospect;перспектива, вид будущего
pass out;вырубиться
socket;разъем, розетка
rotate;вращать
fuse;плавиться, сливаться
refute;опровергать
check in;вселиться (в отель)
surveillance;наблюдение
barefoot;босиком
tutor;репетитор, преподаватель
read up on;изучить вопрос
caution;предосторожность, предостережение
entitle;давать название
whatsoever;совсем (не)
outer;внешний
fond of;любящий
aggregate;совокупный
questionnaire;анкета
council;совет (орган)
charge;заряжать, нагружать
volume;громкость
rent;аренда, арендовать, сдавать
rinse;полоскать, полоскание
booth;будка, кабина
carbon;углерод, уголь, графит
grievance;обида
cohesion;единство, согласие
hopeful;внушающий надежды
underground;подземный
saturated;насыщенный
cubicle;отсек, кабинка
nibble on;покусывать, обгрызать
suppress;подавлять, удерживать
rotate;сменять, чередовать
certain;определённый, уверенный
sever;разрывать, разъединять
gather;собирать (ся)
mostly;в основном
herd;стадо, пасти
succeed;достичь цели
height;высота, рост
marital;супружеский
slack;расслабление, поблажка
light up;осветить или загореться
real estate;недвижимость
ceiling;потолок, перекрытие
stage;сцена
silent;тихий, молчаливый
event;событие
spare;щадить, избавить
chain;цепь
bay;залив
daily;ежедневно
straight;прямой, прямо
weight;вес
span;пролёт, интервал
vice versa;(и) наоборот
syringe;шприц
moan;стонать
order;порядок, упорядочивать
pursue;преследовать, гнаться
infant;ребёнок
renown;известность, слава
fragile;хрупкий
gait;походка
coal;уголь
member;член
lateral;боковой
closure;закрытие, завершение
barrel;бочка
fold;сворачивать, складывать
secure;безопасный, надёжный
rhyme;рифма
cemetery;кладбище
aggravate;обострять
bond;связь, узы, соединение
boulder;валун
cliff;утес
look;выглядеть
comparison;сравнение
yell;кричать, вопить
mosquito;комар
fascinate;очаровывать
act on;действовать в соответствии
acclaim;приветствовать, аплодировать
skid;заносить, скользить, буксовать
rift;разрыв, трещина
bleak;мрачный
awful;ужасный
brew;заваривать, варить напиток
pineapple;ананас
horrible;ужасный, отвратительный
acquire;обретать
bout;бой, поединок
prompt;быстрый, оперативный
appropriate;присвоить
ring (rang, rung);звонить, звонок
apology;извинение(я)
mystery;тайна
deaf;глухой
stoop;крыльцо со ступеньками (амер.)
unique;уникальный
purpose;цель, причина
tear;слеза
spot;заметить, увидеть
waffle;вафля, вафельный
hoard;копить, накопление, клад
cereal;злак, каша, хлопья
baffled;в неодумении, в тупике
virtual;действительный, фактический
booze;выпивка
be in;участвовать
via;через
worship;почитать, поклоняться
endure;выдерживать
healthcare;здравоохранение
involve;вовлекать, увлекать
reed;тростник, камыш
contemporary;современный, современник
coax;убедить, соблазнить сделать
nurse;медсестра, нянька
feel (felt, felt);трогать, щупать
interior;внутренность, внутренний
durable;прочный, долговечный
take part;принимать участие
wine;вино
palace;дворец
herald;возвестить, вестник
opposite;противоположный
amenity;удобство, обустройство
question;подвергать сомнению
convince;убеждать
wash up;умыться
solid;сплошной
disparity;неравенство
goddess;богиня
total;полный, всеобщий
outfit;наряд, комплект, набор
stock;запас
literary;литературный, книжный
stress;подчеркнуть, заострить внимание
bullshit;ерунда, чушь
appear;появиться
as well as;так же как и
dismiss;прогонять, посылать, увольнять
tan;загар, загорать
come up with;придумать
divine;божественный
button;пуговица, застёгивать
yet;всё же
scale;взбираться
stocking;чулок
talk into;уговорить
go for;быть проданным за
framework;каркас, основа, рамки
heap;куча
snap;щёлкать, щелчок
peninsula;полуостров
penetrate;проникать
shrink (shrank, shrunk);сжаться, съёжиться
flash;вспышка, вспыхнуть
accident;случайность
get over;пережить, принять
wave;махать, колебаться
be late;опоздать
ledge;уступ
sprinkle;побрызгать, посыпать
adolescent;подросток, подростковый
inn;гостиница
foil;расстаривать, разрушать
mantle;мантия
solar;солнечный
impair;ухудшать, ослаблять и т.д.
wax;воск
refresh;обновлять, освежить
raft;плот
conform;соответствовать
muck;грязь, мусор, навоз
assassin;убийца
rally;собраться, созвать (напр. армию)
vow;клятва, торжественное обещание
hang out;тусоваться где-то
quite;вполне или более-менее
cast (cast, cast);бросать, метать
gentle;мягкий, тихий, нежный и т. д.
perceive;воспринимать, ощущать
offence (offense);преступление, нарушение
butcher;мясник
govern;управлять
hum;гудеть, жужжать
crush;раздавливать, дробить
revise;пересматривать, проверять
switch;переключать, переключатель
deviate;отклоняться
porch;крыльцо, терраса, веранда
jury;жюри или присяжные
horizon;горизонт, кругозор
content with;довольный, довольство
double;удваивать, двойной
difficulty;трудность
insulate;изолировать, оградить
set smb up;подставить
nonetheless;тем не менее
fetus;плод, эмбрион
compact;договор
gut;кишка
fate;судьба, участь
resign;отказываться, сдавать, уходить
graze;пасти(сь)
spice;пряность, специя
issue;издать, выпустить, выпуск
light (lit, lit);зажигать
trickle;струйка, капать, сочиться
choice;выбор
pivot;стержень, ось, точка опоры
stairs;ступеньки, лестница
worm;червь
educate;воспитывать, обучать
throw up;блевануть
on foot;пешком
blonde;блондинка
sober up;протрезветь
trout;форель
linen;бельё
accident;происшествие, напр.  ДТП
no matter;неважно
wash up;помыть посуду
bait;приманка
lad;парень
after all;всё-таки, в конце концов
disgrace;бесчестие, позор
sight;достопримечаетльность
lash (eyelash);ресница
memoirs;мемуары
amid (amidst);среди
label;метка, ярлык, метить
lack;недостаток, нуждаться
dream;сон (видение)
deliver;рожать
stay;оставаться
pretty;приятный
grade;оценка
infinite;бесконечный
indigenous;коренной, местный
chamber;кабинет, зал, палата, камера
desolate;пустынный, безлюдный
wizard;волшебник
cozy;уютный
wake (up);просыпаться или будить
theme;тема
expose;выставлять, обнажать
get about;передвигаться (на чём-то)
bastard;ублюдок
room;место, пространство
kid;шутить, разыгрывать
discuss;обсуждать
spade;лопата
article;вещь, изделие
mince;фарш, крошить, рубить
train;тренировать
arise (arose, arisen);возникать, происходить
pepper;перец
wreck;разрушать, крушение, развалина
hail;окликнуть, привлечь внимание
both;оба
sturdy;крепкий
forthcoming;предстоящий
since;с (какого-то времени)
extreme;крайний
cuddle;обнимать, прижимать
skillet;сковорода (глубокая)
crunch;хрустеть
exquisite;утончённый, изысканный
evoke;вызывать
stick at;упорно продолжать
shack;лачуга, хибара, будка
hut;хижина, лачуга, барак
shift;сменить, сдвинуть
host;хозяин, быть хозяином
shed (shed, shed);проливать, терять, сбрасывать
can;банка
go over;просмотреть, изучить
erode;размывать, выветривать
go off;отключиться
squat;приседать, приземистый
thereby;тем самым
roar;рёв, реветь
necklace;ожерелье
strike out;потерпеть неудачу
bat;бита
whereas;тогда как
evident;очевидный
hefty;большой и тяжёлый
hustle;нечестно добыть (амер.)
sly;лукавый, коварный
punch;удар (кулаком), бить
negotiate;вести переговоры
shortage;нехватка
discrete;отдельный, разрозненный
rag;тряпка
contest;соревнование, конкурс
buy;верить, соглашаться (разг.)
righteous;праведный
leek;лук-порей
wrinkle;морщина, сморщиваться
mount;подниматься, забираться
add to;увеличивать
scribble;криво написать, нацарапать
cheer up;взбодриться
reluctant;неохотный, нежелающий
aspire;стремиться
eyelid;веко
despair;отчаяние, безнадёжность
dimension;измерение, размер
earnest;серьёзный, ревностный
agitate;волновать
discern;различить, распознать
track down;разыскать, отследить
shaft;вал, ось, стержень
bar;загораживать
yield;уступать
lifelong;пожизненный
sentence;приговор
blow up;накачивать, надувать
induce;вызывать, побуждать
dock;причал, док
host;множество
whereby;посредством чего
intrude on;вторгаться, вмешиваться
midwife;акушерка
pork;свинина
intrinsic;присущий, внутренний
crackle;потрескивание
error;ошибка
clash;столкновение
keep off;избегать, не трогать
suite;апартаменты, номер люкс
fellow;товарищ по чему-либо
science;наука
outweigh;перевешивать
fry;жарить
manifest;проявить, явный
make up;выдумать
sprawl;растягиваться, расползаться
stab;ударить ножом, зарезать
surround;окружать
lizard;ящерица
coffin;гроб
basket;корзина
conscious;сознательный, сознающий
loft;чердак, верхний нежилой этаж
recess;выемка, впадина
look after;присматривать
aid;помощь, помогать
prolong;продлить
colonel;полковник
spot;пятно
move out;съехать, выселиться
battle;битва
refugee;беженец
intimate;близкий
bring around;убедить
lawn;газон
utilize;использовать
mean;неважный, посредственный
compound;состав, составной
lot;жребий, судьба
consequent;последующий, вытекающий
pile;куча, стопка
cab;такси
score;счёт, очко, балл
dice (pl: dice);кубик (игральный)
infect;заражать
fall behind;отставать
tremendous;громадный, страшный
toy with;подумывать о ч-л
boom;заграждение, пояс
enter;войти
crucial;решающий, критический
transcend;преодолеть (пределы)
reconcile;примириться
spare;запасной, лишний
awkward;неуклюжий
eject;выталкивать
blame;винить
take down;записать
last;длиться
evaporate;испаряться
whereabouts;местонахождение
store;хранить, хранилище
obscene;непристойный
foliage;листва
demise;кончина, конец
stunt;трюк, выходка
nipple;сосок
mark down;снижать ценник
siblings;братья и сестры
eve;канун
defend;защитить
come over;заходить (в гости)
apartment;квартира
mural;стенная роспись, фреска
paddle;грести, весло
flood;потоп, наводнение, наводнять
locus;местоположение
fraction;доля, часть, дробь
budge;сдвинуть
trim;подстригать, обрезать, ровнять
herb;трава
oxygen;кислород
likewise;также
stray;бродить, бродячий
overlap;перекрываться
oak;дуб
point;очко
beak;клюв
hiss;шипеть
therefore;следовательно
gene;ген
wrong;не тот
groan;стон, стонать
gesture;жест, жестикулировать
reach out;потянуться (рукой)
specimen;образец, экземпляр
sleeve;рукав
hike;поход, ходить в поход
hang around;зависать, слоняться
bulge;бугор, выпуклость
vein;вена
peaceful;мирный
disease;болезнь
stake;ставка, делать ставку
recover;восстановиться, выздороветь
grateful;благодарный
guideline;общее правило, принцип
mention;упоминать
shred;мелко порубить
tub;ванна, бадья
snowball;снежок
spin;крутить
tangible;осязаемый
laughter;смех
break (broke, broken);нарушать
verge;грань, предел
deception;обман
thus;таким образом, поэтому
Muslim;мусульманин, мусульманский
fierce;свирепый
hunch;догадка, предчуствие
oblique;косой, наклонный
ever;когда-либо
tournament;турнир
race;раса
intricate;сложный, запутанный
future;будущий, будущее
keep out of;не влезать
allowance;выплата, пособие
seek (sought, sought);искать, стремиться
part;часть, разделять(ся)
preside;председательствовать
flavor;вкус, приправлять
illicit;незаконный, запрещённый
steam;пар
arrest;задерживать, тормозить
race;гонка
rest;покоиться
scarlet;алый
fumble;щупать, лапать, мять и т. д.
hip;таз, поясница
detect;обнаружить, выявить
outnumber;превосходить численно
counsel;совет, консультация
verge;обочина
expanse;пространство, простор
grip;хватать, захват, хватка
turn off;свернуть (с дороги)
anxiety;беспокойство, тревога
slave;раб
otherwise;иначе, иным образом
blast;дуновение, порыв
pay out;выплатить (крупную сумму)
senior;старший
facial;лицевой
huge;огромный
luxury;роскошь
distract;отвлекать
spawn;порождать, порождение и т. д.
treasure;сокровище
account;отчёт
stir;шевелить(ся), двигать и т.д.
inherit;унаследовать, перенять
butt in;встревать, вмешиваться
blouse;блузка
length;длина
lever;рычаг, ручка
jeopardy;опасность (серьёзная)
bounty;вознаграждение
doubt;сомневаться, сомнение
miss;пропускать, упустить
cold;простуда
anew;заново
diamond;бриллиант обычно алмаз
asylum;убежище
commemorate;отметить, почтить
within;в течение
tied up;занятый
emergency;чрезвычайная ситуация
earthquake (quake);землетрясение
hue;цвет, оттенок
underneath;под
despise;презирать
discrepancy;несоответствие, расхождение
contempt;презрение, презирать
beloved;любимый
purge;чистка, очищать
spirit;дух
track;след, выслеживать
bold;смелый, дерзкий, безрассудный
halt;останавливаться
dispense with;обойтись без, избавиться
powder;порошок
sideline;что-то вторичное
erect;воздвигнуть, соорудить
efficient;оптимальный, эффективный
confide;доверить, вверить
bowel;кишка
write out;выписать (документ)
fatigue;усталость, утомление
ensure;обеспечить, гарантировать
grant;давать, дарить
subject;подверженный, подвергать
rib;ребро
spread (spread, spread);распространять(ся)
shun;избегать
hollow;полый
jolt;толчок, встряска
tread;ступать, шагать
per;(кол-во) на (единицу)
attain;достигать
ID;удостоверение личности
chest;сундук
duke;герцог
participate;участвовать
porcelain;фарфор
chemistry;химия
provisional;предварительный, временный
nitrogen;азот
bathe;купаться, купать
undo;расстёгнуть, развязать, открыть
spokesman;представитель, прес-секретарь
bend (bent, bent);изгибать, изгиб
syllable;слог
beware;остерегаться
charm;обаяние, очаровывать
pear;груша
load;грузить, груз
rouse;будить
necessary;необходимый
during;во время
likely;вероятно
angry;злой
dust;пыль
lovely;чудесный, милый
nap;вздремнуть, дремота
built-in;встроенный
flatter;льстить
vegetation;растительность
creep (crept, crept);ползти, красться
bottom;дно
buffalo;буйвол или бизон
oriental;восточный, азиатский
rehearse;репетировать
ash;пепел, зола
tease;дразнить
noble;благородный
fixture;крепление, стойка и т.д.
present;присутствующий, в наличии
denote;обозначать
choir;хор
abroad;за границу
lace;шнурок, шнуровать
vest;жилет
thrust;сунуть, пихнуть (быстро)
come to;доходить до
warrant;гарантировать, ручаться
heritage;наследие
apparent;явный, видимый
allot;выделять, отводить
terminate;прекратить, завершить (офиц.)
nail;ноготь
hedge;живая изгородь
fungus;гриб, грибок
dwell on;остановиться (подробно)
silk;шелк
disdain;пренебрегать, презирать
sinister;зловещий
weary;утомленный
thwart;помешать, сорвать
frame;рамка, каркас и т.п.
aboard;на борту
bestow;даровать
run away;убежать
stoop;наклоняться или сутулиться
roadside;обочина, придорожный
aware;осведомлённый
glimpse;вид (мельком или уголком)
peacekeeper;миротворец
cash;наличка, обналичить
hood;капот, кожух
hide (hid, hidden);скрывать
humid;влажный
worldwide;всемирный
part-time;неполная занятость
stealth;скрытность, хитрость
turn on;заводить, возбуждать
substantial;существенный, значительный
comprise;состоять из, охватывать
foul;гадкий, скверный, грязный
make sure;убедиться
ask out;пригласить сходить
disrupt;нарушить, сорвать
internal;внутренний
withdraw;отводить, убирать
tip (tips);чаевые
mere;всего лишь
on behalf of;от имени
pretend;притворяться
suspect;подозревать, подозреваемый
mutual;взаимный
include;включать, содержать в себе
reminiscent;напоминающий
population;население
point;острие, кончик
twist;скручивать
creepy;жуткий
segregate;разделять
geared to;направлен на
curb;бордюр или обочина
cure;лечить
assimilate;усваивать
soak;мочить, пропитывать
thump;колотить
liberty;свобода
sniff;нюхать, сопеть, фы и т. д.
comfort;утешать, утешение
harvest;урожай, собирать урожай
criminal;преступник
veer;резко свернуть
overthrow;свергнуть
currency;валюта
patrol;патруль
destroy;разрушать
feedback;обратная связь
authority;власть
trigger;спусковой крючок
noon;полдень
yacht;яхта
jelly;желе
exert;приложить, оказать
anyway;в любом случае
shudder;содрогаться, дрожь
drop;капля
press;нажимать
cue;сигнал, намёк
long for;желать или скучать
flush;румянец, порозоветь
martyr;мученик
eat out;есть не дома
legal;законный, правовой
unite;объединять
uphill;в гору
suffer;страдать
bound;обязан
audible;слышимый
current;текущий, актуальный
couch;диван
occur to;прийти в голову
elder;старший
plump;пухлый
legitimate;законный, обоснованный
meadow;луг
military;военный
turn down;отказаться от предложения
break into (break in);проникнуть, вломиться
esteem;уважать, почитать, почтение
anticipate;ожидать
deed;дело, поступок
gutter;желоб, сток
destination;место назначения
beast;зверь, животное, скот
exaggerate;преувеличивать
blow out;задуть (свечу)
futile;тщетный, напрасный
court;суд
lucrative;прибыльный, выгодный
roadway;проезжая часть
uprising (rising);восстание
obsolete;устарелый
habit;привычка, обычай
clove;гвоздика
staff;персонал
fable;басня
express;выражать
Gypsy;цыган, цыганский
gross;валовой, грязный
obey;подчиняться, слушаться
mow;косить
displace;вытеснять, смещать
retaliate;отплатить, отомстить
hall;зал, вестибюль
twinkle;блеск, мерцание
tranquil;спокойный
flake;слоиться, крошиться
mandatory;обязательный
fashion;стиль, образ, манер
feed on;питаться
stand for;выступать за
as though;как будто
landlord;арендодатель, домовладелец
recede;убывать
journalism;журналистика
meet (met, met);встретить или познакомиться
bank;берег (реки, озера)
wrongdoing;проступок, правонарушение
contingency;непредвиденные обстоятельства
loop;петля
pry;любопытствовать, совать нос
pal;приятель
impose;навязывать, налагать
fight off;отбить
count on;рассчитывать на
offer;предлагать, предложение
adjacent;смежный, прилегающий
numerous;многочисленные
spotlight;прожектор, центр внимания
affair;роман, любовная история
grumble;ворчать, жаловаться
vast;просторный, простор
premature;преждевременный
sample;образец, часть
frustrate;расстраивать (план, схему)
alas;увы
cross;пересекать, пересечение, крест
on the contrary;наоборот
bolster;укреплять, поддерживать
override;перекрывать, отменять
magician;волшебник, фокусник
early;рано, ранний
bring down;сбрасывать, свергать
ruin;разрушать, губить
sole;единственный
opening;отверстие
whisk;сделать быстрое движение
facility;лёгкость, удобство
vendor;продавец, торговец
brisk;энергичный, оживлённый
seize;схватить
raid;набег
lean;худой
for sure;наверняка, точно
aisle;проход
fruitless;бесплодный
waterfall;водопад
native;родной
cart;телега
doorway;дверной проем
wound;рана, ранить
detain;задерживать
glitter;блеск, блестеть, сверкать
ascend;восходить
thirst;жажда
sunset;закат солнца
set;набор, комплект
raspberry;малина
complement;набор, состав, комплект
back up;поддержать, прикрыть
dive;нырять
screenplay;сценарий
text;писать (сообщение)
sensitive;чувствительный
jar;банка, кувшин и т. д.
industry;отрасль
name after;назвать в честь
concept;понятие, идея
hierarchy;иерархия
ponder;обдумывать
considerable;крупный, значительный
underpants;трусы
overhear;подслушать, нечаянно услышать
entertain;развлекать
construct;соорудить
rot;гнить
dedicate;посвящать
pattern;шаблон, образец
defence (defense);защита, защитный
flat;квартира
credential;удостоверение, аккредитация
torment;мучение
miracle;чудо
exclude;исключать
terrify;устрашать
remind;напомнить
addict;наркоман, привыкать
particle;частица
approach;приближаться, подходить
bounce;отскакивать, прыгать
catch up with;догнать
curl;скручивать, клубиться, завиток
compete;соперничать
native;местный, туземный
demolish;сносить
strangle;придушить
thick;густой
flame;пламя, пылать
linger;задерживаться, медлить
launch;начать, запустить, запуск
screw;к чёрту
stage;стадия, ступень
stove;плита
traffic light;светофор
soothe;успокаивать
drug;лекарство или наркотик
handkerchief;носовой платок
heel;каблук, пятка
shareholder;акционер
escape;избежать, спастись
smack;шлёпнуть, хлопнуть
sewage;канализация, сточные воды
testimony;показание, свидетельство
cheat;жульничать
hurl;метать, бросать с силой
rig;установка, сооружение
procedure;процедура
brute;животное, зверь, грубый
merchant;торговец, купец
stick (stuck, stuck);приклеить
tray;лоток, поднос, поддон
pierce;проколоть
dig up;откопать
workshop;мастерская, студия
vinegar;уксус
select;выбирать, отбирать
weld;сварка, сваривать
by oneself;один, сам
plain;простой, незамысловатый
sludge;осадок, отстой, ил
found;основать, учредить
refer;сослаться, отослать
elaborate;разработать, хорошо проработанный
all along;всё время
concede;уступить
renovate;ремонтировать, обновлять
strip;снимать (обнажать)
glamour;очарование, привлекательность
tattered;оборванный
vulnerable;уязвимый, чувствительный
tiny;крошечный
thrift;бережливость
bake;печь (выпекать)
troublesome;хлопотный, беспокойный
arouse;вызывать, пробуждать
over;заново
deity;божество
shovel;лопата или совок
embed;встроить, вставить
get away with;безнаказанно сделать
drag on;тянуться долго
shrug;пожать плечами
swap;менять, обмен
run into;случайно встретить
flick through;просмотреть, пролистать
late;покойный
newcomer;новичок
debt;долг
roof;крыша
oven;печь, духовка
space;пространство
abolish;упразднять
encounter;встретиться, столкнуться
continue;продолжить
hook up;потрахаться
sore;больной, рана
crease;складка, сминать
explain;объяснять
reveal;раскрыть, выявить
dream up;придумать (в деталях)
almost;почти
cotton;хлопок
gown;платье
vision;зрение или видение
frighten off;отпугивать
stock up on;запастись
violin;скрипка
discover;открыть (новое)
collapse;обрушиться, сложиться
stagger;шататься, колебаться
victim;жертва
wholesale;опт
pet;домашний питомец
flank;бок, фланг
sign;знак
lone;одинокий
satellite;спутник
jerk;придурок
lie (lay, lain);лежать
current;ток, поток, течение
bank on;надеяться, полагаться
consider;рассматривать, учитывать
objective;цель
map out;запланировать, расписать
descend;спускаться
bicycle;велосипед
recite;декламировать, рассказывать
clump;комок, кучка, клок
fame;известность, слава
toward (towards);по направлению к
fabric;ткань, материал
as well;также
rush;торопиться, мчаться, броситься
come out;выходить (напр. об альбоме)
albeit;хотя
gust;порыв
summit;вершина, верх
youth;молодёжь, молодость
item;пункт, номер, предмет
cross out;вычеркнуть
diary;дневник
afford;позволить себе
aside from;кроме
stand out;выделяться
knot;узел
grid;сетка, решётка
get at;клонить, намекать
grace;благодать, милость
passion;страсть
nourish;питать, кормить, удобрять
arch;арка, изгибать
orchard;фруктовый сад
exclaim;восклицать
vault;хранилище, об. в подвале
greet;приветствовать
dissent;несогласие, не соглашаться
clog;загромождать
sway;раскачивать
stripe;полоса
by heart;наизусть
outstanding;выдающийся
throw (threw, thrown);бросать
recognize;узнавать
funeral;похороны, похоронный
faucet;кран
suffice;хватать, быть достаточным
fluid;жидкий, текучий
random;выбранный наугад
approve of;одобрять (субъективно)
Easter;Пасха
work out;получиться, сработать
wash down;запивать
barely;едва, лишь только
beetle;жук
excuse;оправдание, отмазка
slender;тонкий, стройный, изящный
butterfly;бабочка
seduce;соблазнять
ascertain;выяснить, установить
minor;второстепенный, незначительный
various;разнообразный
junkie;наркоман
vain;напрасный, безрезультатный
master;овладеть (напр. искусством)
furnace;печь
thin;тонкий, худой
mug;кружка
release;отпускать, выпускать
magnificent;великолепный, величественный
roll;катиться
distribute;распределять
abundant;обильный
appliance;прибор, приспособление
vivid;яркий
prosecute;вести, осуществлять
evade;уклоняться
remnant;остаток
counter;стойка, прилавок
loot;грабить, добыча
expenditure;расходы
tally;подсчитывать, подсчёт, итог
regard;внимание, уважение
sincere;искренний
temporary;временный
idle;праздный, бездействующий
forcible;насильственный
efficacy;результативность
moreover;более того
refrigerator;холодильник
steal (stole, stolen);красть
consider;считать чем-либо
able;способный, могущий
chapter;глава
ensemble;ансамбль
terror;ужас
perplex;смутить, озадачить
blunt;тупой, притуплять
stick out;торчать, выделяться
investigate;расследовать
shy;застенчивый
inferior;низший
evidence;доказательство (неисчисл.)
examine;осмотреть, изучить
feast;праздник, пир
terrible;ужасный
exceed;превышать
rug;коврик
slab;плита, блок
eager;сильно желающий
source;источник
vicinity;окрестность, близость
multiple;множественный, неединичный
check into;лечь (в больницу)
freak;урод
blanket;одеяло, покрывало
supreme;высший,  верховный
bully;задира, задирать
dough;тесто
ship;доставлять
come through;пережить, перенести
blossom;цвести, цвет
frost;мороз
evil;злой, зло
excel;преуспеть
locate;определить местоположение
agenda;повестка дня
enact;вводить (напр. закон)
awake;проснуться, бодрствующий
decline;снижаться, снижение
mayor;мэр
wage;заработок, оплата
joint;сустав, шарнир, стык и т. д.
squeal;визг, визжать
transcript;расшифровка, текст
prison;тюрьма
volume;объём
resurrect;воскрешать
gala;праздник, торжество
privacy;частная жизнь, конфиденциальность
passage;проход, коридор
convene;созывать, собирать
summary;сводка, конспект
plant;завод, производство
lyrics;текст песни
dangle;мотаться
mess;беспорядок, путаница
regiment;полк
hurry;спешить, торопиться
obscure;неясный, тёмный
custom;обычай, привычка
tell from;отличить
precious;драгоценный
theft;кража
desert;пустыня
pat;похлопать, потрепать
strict;строгий, точный
co-worker;сотрудник
drive (drove, driven);двигать, гнать
flourish;процветать
superintendent;управляющий, начальник
flashlight;фонарик
happen;случиться, происходить
gum;жвачка
corn;кукуруза, зерно
indicate;указывать, означать
inhale;вдыхать
confuse;путать
valley;долина
blur;размывать, смазывать
gratify;удовлетворять, радовать
put on;надеть
annual;ежегодный
employ;нанимать на работу
hazard;опасность, риск, угроза
in spite of;несмотря на
indifferent;безразличный
adamant;непреклонный
chief;вождь, начальник, главный
burn;жечь
plow;пахать, плуг
chestnut;каштан
direct;направлять
decrease;уменьшать(ся), уменьшение
look for;искать
deduct;вычитать (об. про деньги)
mix up;перепутать
expense;расходы
like that;так
conduct;вести, поведение
wane;убывать
brave;храбрый
ripe;созревший
dodge;уворачиваться, уклоняться, уловка
iron;утюг, гладить
burrow;нора, зарываться
smart;умный, хитрый
receive;получить
siege;осада
fishing;рыбалка
either;любой из двух
halve;делить пополам
pigeon;голубь
specific;конкретный
so-called;так называемый
talk over;обговорить
oyster;устрица
round;круг, круглый
lounge;расслабляться, бездельничать
mumble;бормотать, бубнить
definite;определённый
bean;боб
black out;обесточить
pumpkin;тыква
spooky;жуткий
seal;тюлень
buy up;скупить
supplement;дополнение, дополнять
proud;гордый, гордящийся
courtyard;внутренний двор
slim;стройный
